"행정구역별(시군구)","세대구성별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시군구)","세대구성별",일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명),일반가구 (가구),가구원수 1명 (가구),가구원수 2명 (가구),가구원수 3명 (가구),가구원수 4명 (가구),가구원수 5명 (가구),가구원수 6명 (가구),가구원수 7명 이상 (가구),평균 가구원수 (명)
"서울특별시","계",3784490,1115744,930467,817440,701945,169436,38547,10911,2.5,3784705,1138860,931262,816946,686469,163555,37153,10460,2.5,3813260,1180540,956978,813629,662920,154992,34649,9552,2.4,3839766,1229421,977469,807545,637385,147231,32059,8656,2.4,3896389,1299787,1005065,801819,614026,138596,29336,7760,2.3,3982290,1390701,1033901,792690,602791,130122,25770,6315,2.3
"서울특별시","1세대 가구",608625,X,586552,20498,1351,208,14,X,2.0,598233,X,577763,19236,1072,131,25,6,2.0,614037,X,593932,18921,1059,107,15,X,2.0,626988,X,606796,18948,1115,107,20,X,2.0,645266,X,625061,18952,1115,105,28,5,2.0,665193,X,645513,18559,999,107,13,X,2.0
"서울특별시","2세대 가구",1825210,X,305700,773280,635625,99300,9566,1739,3.3,1804454,X,301081,773644,622825,96062,9182,1660,3.3,1775431,X,303866,769818,600643,90990,8601,1513,3.3,1740777,X,304962,762293,577118,86804,8141,1459,3.3,1710502,X,306832,756387,555851,82446,7627,1359,3.3,1691450,X,307823,747841,548321,79258,7058,1149,3.3
"서울특별시","3세대 가구",188997,X,X,19311,63554,69020,28480,8632,4.7,181625,X,X,18524,60906,66447,27485,8263,4.7,173908,X,X,18591,59200,62923,25619,7575,4.7,164734,X,X,18559,56645,59159,23534,6837,4.7,155420,X,X,18354,54716,54926,21353,6071,4.6,142292,X,X,18028,51141,49738,18463,4922,4.6
"서울특별시","4세대 이상 가구",1523,X,X,X,91,407,487,538,6.1,1434,X,X,X,90,352,461,531,6.2,1297,X,X,X,98,324,414,461,6.1,1121,X,X,X,62,337,364,358,6.1,1020,X,X,X,76,291,328,325,6.0,767,X,X,X,59,230,236,242,6.0
"서울특별시","1인 가구",1115744,1115744,X,X,X,X,X,X,1.0,1138860,1138860,X,X,X,X,X,X,1.0,1180540,1180540,X,X,X,X,X,X,1.0,1229421,1229421,X,X,X,X,X,X,1.0,1299787,1299787,X,X,X,X,X,X,1.0,1390701,1390701,X,X,X,X,X,X,1.0
"대전광역시","계",582504,169391,140603,122088,112055,30022,6489,1856,2.5,590698,179605,142629,122640,108888,28963,6207,1766,2.5,597736,188136,148154,122116,104899,27148,5692,1591,2.4,602175,195544,153135,120714,100895,25359,5129,1399,2.4,609043,205165,158832,119508,96271,23465,4623,1179,2.3,631208,228842,164795,116989,93698,21883,4034,967,2.3
"대전광역시","1세대 가구",92363,X,89802,2392,146,21,X,X,2.0,92145,X,89843,2170,114,16,X,X,2.0,96093,X,93748,2201,126,15,X,X,2.0,99783,X,97402,2227,140,13,X,X,2.0,104110,X,101719,2239,144,8,X,X,2.0,108266,X,105920,2224,112,10,X,X,2.0
"대전광역시","2세대 가구",286007,X,45601,116285,102302,19491,1955,373,3.4,284116,X,46306,117103,99476,18937,1956,338,3.3,279038,X,46535,116362,95894,18066,1857,324,3.3,273889,X,47392,114968,92352,17131,1759,287,3.3,267400,X,47610,113750,88084,16079,1607,270,3.3,263211,X,48279,111373,86266,15521,1505,267,3.3
